"Date","Symbol","Ltp","Vwap"
"4th Sep'26 3:29:00","DIXON",14240,14232.49
"4th Sep'26 3:29:00","CRAFTSMAN",11398,11379.79
"4th Sep'26 3:29:00","AMBER",7474,7470.86
"4th Sep'26 3:29:00","TITAN",5020,5001.78
"4th Sep'26 3:29:00","RADICO",4494,4479.6
"4th Sep'26 3:29:00","GRASIM",3322,3317.24
"4th Sep'26 3:29:00","MCX",3275.4,3233.59
"4th Sep'26 3:29:00","GLAXO",2958.1,2951.22
"4th Sep'26 3:29:00","GLAND",2932.4,2902.86
"4th Sep'26 3:29:00","GLENMARK",2437.2,2435.99
"4th Sep'26 3:29:00","APLAPOLLO",2250,2221.61
"4th Sep'26 3:29:00","ANANDRATHI",2215.9,2214.1
"4th Sep'26 3:29:00","HYUNDAI",2205,2191.74
"4th Sep'26 3:29:00","WOCKPHARMA",2088.7,2059.14
"4th Sep'26 3:29:00","IPCALAB",1965.3,1961.37
"4th Sep'26 3:29:00","EMCURE",1927.6,1914.94
"4th Sep'26 3:29:00","LALPATHLAB",1877.5,1874.59
"4th Sep'26 3:29:00","TATACOMM",1756.1,1745.77
"4th Sep'26 3:29:00","AUROPHARMA",1653.1,1650.33
"4th Sep'26 3:29:00","JSWSTEEL",1325,1321.4
"4th Sep'26 3:29:00","UNOMINDA",1249.7,1242.67
"4th Sep'26 3:29:00","SUNDRMFAST",1212.3,1205.4
"4th Sep'26 3:29:00","KPRMILL",1186.3,1186.23
"4th Sep'26 3:29:00","HATSUN",1168.8,1158.89
"4th Sep'26 3:29:00","JINDALSTEL",1165,1158.07
"4th Sep'26 3:29:00","ABSLAMC",1062.3,1053.06
"4th Sep'26 3:29:00","BAJFINANCE",1060.5,1056.05
"4th Sep'26 3:29:00","MOTILALOFS",1037,1032.8
"4th Sep'26 3:29:00","INDUSINDBK",1008.5,1002.42
"4th Sep'26 3:29:00","INDOMIM",971.5,965.57
"4th Sep'26 3:29:00","HINDZINC",601,597.38
"4th Sep'26 3:29:00","KALYANKJIL",598.8,598.65
"4th Sep'26 3:29:00","KOTAKBANK",424.5,424.06
"4th Sep'26 3:29:00","ACMESOLAR",418,417.45
"4th Sep'26 3:29:00","RBLBANK",414.35,413.83
"4th Sep'26 3:29:00","ABCAPITAL",404.9,404.54
"4th Sep'26 3:29:00","TATACAP",375.05,374.6
"4th Sep'26 3:29:00","REDINGTON",371.3,370.85
"4th Sep'26 3:29:00","CGCL",279.9,276.37
"4th Sep'26 3:29:00","HFCL",231.44,230.42
"4th Sep'26 3:29:00","NIACL",229.91,223.07
"4th Sep'26 3:29:00","PPLPHARMA",214.22,213.21
"4th Sep'26 3:29:00","URBANCO",181.09,179.33
"4th Sep'26 3:29:00","GAIL",173.4,173.08
"4th Sep'26 3:29:00","IDEA",15.02,14.96